,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
29,Atuona,88,PF,1571019983,72,-9.8,-139.03,299.43,5.269
30,Chuy,99,UY,1571019985,71,-33.69,-53.46,284.07,5.872
31,Carnarvon,0,ZA,1571019986,40,-30.97,22.13,286.49,4.776
32,Codrington,40,AU,1571019987,39,-28.95,153.24,299.82,2.6
33,East London,9,ZA,1571019989,76,-33.02,27.91,291.12,9.947
34,Ponta do Sol,28,BR,1571019990,50,-20.63,-46.0,294.23,2.521
35,Sinnamary,89,GF,1571019991,82,5.38,-52.96,300.51,7.315
36,Damphu,0,BT,1571019993,48,27.07,90.11,296.16,0.563
37,Ahipara,100,NZ,1571019994,100,-35.17,173.16,286.48,10.961
38,Barrow,95,AR,1571019995,78,-38.31,-60.23,277.02,3.467
39,Qaanaaq,100,GL,1571019996,53,77.48,-69.36,261.88,6.116
40,Iqaluit,5,CA,1571019998,85,63.75,-68.52,267.15,2.1
41,Tamiahua,34,MX,1571019999,77,21.28,-97.45,297.68,1.576
42,Malatya,0,TR,1571020000,65,38.35,38.32,278.15,3.1
43,Bluff,13,AU,1571020002,38,-23.58,149.07,302.25,3.224
44,Lodeynoye Pole,93,RU,1571020003,86,60.73,33.55,277.65,1.541
45,Cururupu,0,BR,1571020004,90,-1.82,-44.87,296.43,1.352
46,Ushuaia,40,AR,1571020005,64,-54.81,-68.31,276.15,4.6
47,Cidreira,100,BR,1571020007,96,-30.17,-50.22,293.08,6.087
48,Poum,0,MK,1571020008,78,41.28,20.71,283.8,0.991
49,Mizdah,87,LY,1571020009,96,31.45,12.98,290.35,2.8
50,Grindavik,75,IS,1571020010,86,63.84,-22.43,278.15,6.7
51,Half Moon Bay,20,US,1571020011,87,37.46,-122.43,296.48,2.319
52,Ryde,100,GB,1571020013,93,50.73,-1.16,285.37,1.5
53,Bull Savanna,100,JM,1571020014,93,17.89,-77.59,295.45,1.539
54,San Felipe,100,CL,1571020015,70,-32.75,-70.73,292.04,0.935
55,Rudnya,100,RU,1571020016,89,50.8,44.56,284.24,3.067
56,Port Alfred,0,ZA,1571020018,85,-33.59,26.89,290.37,3.58
57,Kapaa,75,US,1571020023,83,22.08,-159.32,303.15,4.1
58,Cabo San Lucas,90,MX,1571020024,88,22.89,-109.91,300.37,5.1
59,Taguatinga,93,BR,1571020026,38,-15.83,-48.06,296.15,1.0
60,Mataura,100,NZ,1571020027,67,-46.19,168.86,289.13,2.275
61,Vaitape,9,PF,1571020028,75,-16.52,-151.75,298.3,7.368
62,Vestmanna,79,FO,1571020030,86,62.16,-7.17,276.15,2.852
63,Port Keats,34,AU,1571020031,47,-14.25,129.55,305.82,6.026
64,Xuddur,31,SO,1571020032,84,4.12,43.89,296.15,4.883
65,Jamestown,29,AU,1571020033,39,-33.21,138.6,293.95,4.182
66,Airai,14,TL,1571020035,13,-8.93,125.41,304.14,4.156
67,Vila Velha,75,BR,1571020036,74,-3.71,-38.6,300.15,6.7
68,Kontagora,16,NG,1571020037,92,10.4,5.47,295.58,1.259
69,Saskylakh,78,RU,1571020038,94,71.97,114.09,265.97,1.461
70,San Marino,1,US,1571020040,56,34.12,-118.11,293.15,2.6
71,Jaleswar,0,IN,1571020041,72,21.8,87.22,300.34,3.005
72,Georgetown,90,GY,1571020042,100,6.8,-58.16,297.15,1.0
73,Shimoda,75,JP,1571020044,88,34.7,138.93,295.15,11.8
74,Raudeberg,0,NO,1571020045,80,61.99,5.14,278.15,3.1
75,Baijiantan,0,CN,1571020046,37,45.63,85.18,290.46,2.852
76,Victoria,75,BN,1571020048,70,5.28,115.24,304.15,0.5
77,Goure,61,NE,1571020049,26,13.98,10.27,302.04,5.81
78,San Luis,67,AR,1571020050,37,-33.3,-66.34,288.33,12.03
79,Kisangani,95,CD,1571020052,98,0.52,25.21,294.14,0.971
80,Meadow Lake,99,CA,1571020053,65,54.13,-108.44,275.14,0.959
81,Mocuba,50,MZ,1571020054,93,-16.84,36.99,294.24,0.688
82,Ancud,0,CL,1571020056,65,-41.87,-73.83,281.15,4.6
83,Faanui,9,PF,1571020057,75,-16.48,-151.75,298.3,7.368
84,Hamilton,75,CA,1571020058,58,43.26,-79.87,288.71,9.3
85,Dikson,100,RU,1571020059,99,73.51,80.55,272.52,2.027
86,Bethel,1,US,1571020061,55,60.79,-161.76,278.15,4.6
87,Senneterre,90,CA,1571020062,93,48.39,-77.24,280.15,3.6
88,Leningradskiy,97,RU,1571020063,57,69.38,178.42,271.99,2.343
89,Port Macquarie,0,AU,1571020064,56,-31.43,152.91,297.04,5.7
90,Coruripe,7,BR,1571020066,79,-10.12,-36.18,297.63,5.352
91,Mahebourg,75,MU,1571020067,88,-20.41,57.7,294.26,1.5
92,Ust-Maya,100,RU,1571020068,81,60.42,134.54,266.08,3.248
93,Biak,0,ID,1571020069,79,-0.91,122.88,300.29,4.653
94,Hangu,5,PK,1571020071,68,33.53,71.06,294.15,2.1
95,Kindu,100,CD,1571020072,99,-2.95,25.92,293.3,0.6
96,Rome,100,IT,1571020073,93,41.89,12.48,290.37,2.1
97,Padang,95,ID,1571020074,74,-0.92,100.36,299.08,1.15
98,Hilo,40,US,1571020075,65,19.71,-155.08,301.15,3.6
99,Flin Flon,89,CA,1571020077,89,54.77,-101.88,274.3,1.416
100,Marinette,1,US,1571020078,77,45.1,-87.63,277.15,3.1
101,High Level,40,CA,1571020079,74,58.52,-117.13,274.15,6.2
102,Tanout,0,NE,1571020080,21,14.97,8.88,301.26,4.538
103,Puerto Ayacucho,20,CO,1571020082,83,5.66,-67.63,300.15,0.544
104,Lima,90,PE,1571020083,77,-12.06,-77.04,290.15,3.6
105,Longyearbyen,37,NO,1571020084,73,78.22,15.63,266.15,0.5
106,Hobyo,7,SO,1571020086,78,5.35,48.53,299.52,0.976
107,Talnakh,100,RU,1571020087,97,69.49,88.39,270.62,3.684
108,Namatanai,80,PG,1571020088,66,-3.66,152.44,302.03,0.645
109,Mahibadhoo,0,MV,1571020089,69,3.78,72.97,301.24,2.023
110,Avarua,0,CK,1571020091,61,-21.21,-159.78,298.15,6.7
111,Lafiagi,10,NG,1571020092,95,8.85,5.42,295.94,1.48
112,Shingu,75,JP,1571020093,88,33.72,135.99,295.15,2.1
113,Sahuaripa,100,MX,1571020095,94,29.05,-109.23,288.77,2.606
114,Sao Joao da Barra,0,BR,1571020096,82,-21.64,-41.05,296.42,9.89
115,Quesnel,20,CA,1571020097,93,52.98,-122.49,277.15,1.5
116,Ribeira Grande,100,PT,1571020100,78,38.52,-28.7,289.55,5.183
117,Gurbanesti,26,RO,1571020101,93,44.38,26.7,283.15,0.5
118,Sitka,0,US,1571020102,56,37.17,-99.65,286.48,4.92
119,Aguimes,20,ES,1571020104,64,27.91,-15.45,294.15,3.6
120,Wollongong,40,AU,1571020105,49,-34.42,150.89,298.15,6.2
121,Moranbah,0,AU,1571020106,23,-22.0,148.04,304.86,2.381
122,Alofi,99,NU,1571020107,65,-19.06,-169.92,299.15,6.2
123,Salalah,0,OM,1571020109,64,17.01,54.1,297.15,1.5
124,Aizawl,20,IN,1571020110,88,23.74,92.72,298.15,0.406
125,Fairbanks,90,US,1571020111,68,64.84,-147.72,272.15,4.6
126,Nome,40,US,1571020112,64,30.04,-94.42,297.59,2.1
127,Mackay,90,CA,1571020114,100,53.65,-115.58,276.15,1.0
128,Guerrero Negro,0,MX,1571020115,67,27.97,-114.04,293.41,6.044
129,Souillac,0,FR,1571020116,77,45.6,-0.6,292.15,8.2
130,Port Elizabeth,90,US,1571020118,93,39.31,-74.98,291.48,4.1
131,Puerto Madryn,0,AR,1571020119,66,-42.77,-65.04,278.92,3.186
132,Zhashkiv,0,UA,1571020120,54,49.25,30.1,284.68,1.379
133,Katangli,94,RU,1571020121,40,51.71,143.23,276.35,5.56
134,Mecca,13,SA,1571020123,49,21.43,39.83,301.05,0.917
135,Saint-Philippe,75,CA,1571020124,70,45.36,-73.48,285.93,4.1
136,Sao Filipe,0,CV,1571020125,75,14.9,-24.5,298.73,8.324
137,Vila Franca do Campo,75,PT,1571020127,82,37.72,-25.43,290.15,3.6
138,Constitucion,75,MX,1571020129,52,23.99,-104.67,292.59,2.6
139,Puerto Ayora,0,EC,1571020130,89,-0.74,-90.35,293.15,2.68
140,Arlit,0,NE,1571020132,19,18.74,7.39,301.07,3.646
141,Lagoa,40,PT,1571020133,88,37.14,-8.45,292.15,7.7
142,Porto Empedocle,78,IT,1571020134,90,37.29,13.53,290.93,1.066
143,Eureka,1,US,1571020136,93,40.8,-124.16,285.37,3.6
144,Newport,100,GB,1571020137,93,51.59,-3.0,284.26,2.6
145,Kamaishi,75,JP,1571020138,76,39.28,141.86,286.15,2.1
146,Soroti,100,UG,1571020140,95,1.71,33.61,291.13,0.495
147,Bredasdorp,8,ZA,1571020141,87,-34.53,20.04,287.59,1.5
148,Mangaratiba,0,BR,1571020143,94,-22.96,-44.04,297.15,3.542
149,Severnoye,12,RU,1571020144,93,54.09,52.54,278.72,5.857
150,Arraial do Cabo,0,BR,1571020145,87,-22.97,-42.02,295.77,13.229
151,Broome,100,GB,1571020146,93,52.47,1.45,283.15,1.0
152,Hovd,8,NO,1571020148,92,63.83,10.7,278.71,3.1
153,Scottsbluff,1,US,1571020149,52,41.87,-103.67,283.15,2.6
154,Bandarbeyla,94,SO,1571020150,77,9.49,50.81,300.18,4.543
155,Lebu,20,ET,1571020151,87,8.96,38.73,284.15,2.1
156,Upernavik,0,GL,1571020153,47,72.79,-56.15,265.78,4.784
157,Provideniya,90,RU,1571020154,88,64.42,-173.23,275.15,5.0
158,Hervey Bay,40,AU,1571020155,47,-25.3,152.85,299.26,5.7
159,Sitrah,5,BH,1571020156,79,26.15,50.62,302.15,1.0
160,Buala,92,SB,1571020158,70,-8.15,159.59,302.11,1.81
161,Conceicao do Araguaia,0,BR,1571020159,64,-8.26,-49.26,298.96,1.573
162,Tshela,100,CD,1571020160,97,-4.99,12.94,294.65,1.414
163,Pedro II,4,BR,1571020161,61,-4.43,-41.45,294.56,1.103
164,Sogamoso,89,CO,1571020163,88,5.71,-72.93,281.69,1.206
165,Laishevo,75,RU,1571020164,75,55.4,49.55,281.15,5.0
166,Ilulissat,0,GL,1571020165,52,69.22,-51.1,266.15,3.6
167,Ostrovnoy,96,RU,1571020166,80,68.05,39.51,274.37,3.999
168,Denpasar,20,ID,1571020168,79,-8.65,115.22,302.15,3.6
169,Santiago del Estero,100,AR,1571020169,90,-27.8,-64.26,289.03,7.24
170,Gushikawa,75,JP,1571020170,88,26.35,127.87,299.15,4.6
171,Butaritari,66,KI,1571020172,63,3.07,172.79,302.86,2.457
172,Hastings,100,NZ,1571020173,71,-39.64,176.84,285.39,6.257
173,Tasiilaq,99,GL,1571020177,86,65.61,-37.64,274.15,14.4
174,Mar del Plata,0,AR,1571020179,67,-46.43,-67.52,280.12,2.429
175,Kuala Terengganu,75,MY,1571020180,74,5.33,103.14,302.15,2.1
176,Saint George,0,GR,1571020181,93,39.45,22.34,287.15,0.54
177,Dabakala,87,CI,1571020182,97,8.36,-4.43,294.02,0.915
178,Hukuntsi,35,BW,1571020184,32,-23.98,21.76,294.14,3.596
179,Torbay,90,CA,1571020185,100,47.66,-52.73,284.26,4.1
180,San Cristobal,99,HN,1571020186,95,14.68,-86.92,292.46,1.401
181,Shanting,83,CN,1571020187,58,35.08,117.46,288.26,5.953
182,Sartell,1,US,1571020189,92,45.62,-94.21,276.15,3.8
183,Belle Glade,40,US,1571020190,74,26.68,-80.67,300.15,3.1
184,Lichinga,54,MZ,1571020191,73,-13.3,35.25,293.51,2.86
185,Trinidad,14,BO,1571020192,64,-14.83,-64.9,299.51,1.789
186,Goderich,100,CA,1571020194,87,43.74,-81.71,283.15,1.34
187,Nakusp,100,CA,1571020195,97,50.24,-117.8,276.48,1.769
188,Kavieng,100,PG,1571020196,69,-2.57,150.8,301.87,1.945
189,Constantine,0,DZ,1571020197,72,36.36,6.61,288.15,1.864
190,Eunice,1,US,1571020199,56,30.49,-92.42,295.15,2.6
191,Menongue,100,AO,1571020200,78,-14.66,17.68,290.47,3.325
192,Oparino,99,RU,1571020201,82,59.85,48.28,278.79,5.346
193,Chokurdakh,100,RU,1571020202,93,70.62,147.9,263.28,4.568
194,Barmer,0,IN,1571020204,31,25.74,71.4,303.79,2.963
195,Esperance,90,AU,1571020205,59,-33.86,121.89,291.15,4.1
196,Srednekolymsk,100,RU,1571020206,96,67.46,153.71,271.02,7.028
197,Karratha,0,AU,1571020208,71,-20.74,116.85,296.31,6.498
198,Lincoln,100,GB,1571020209,93,53.23,-0.54,282.15,2.1
199,Bubaque,100,GW,1571020210,77,11.28,-15.83,300.28,3.114
200,Khani,0,GE,1571020211,93,41.96,42.96,282.15,2.1
201,Ano Mera,0,GR,1571020213,77,37.45,25.4,293.71,7.7
202,Darbhanga,0,IN,1571020214,56,26.16,85.9,300.18,0.815
203,Novopokrovka,0,UA,1571020216,81,49.84,36.56,284.15,2.0
204,Klaksvik,42,FO,1571020217,86,62.23,-6.59,276.15,5.071
205,Inverell,5,AU,1571020218,44,-29.78,151.11,298.15,0.89
206,Beckley,1,US,1571020219,87,37.78,-81.19,285.15,1.741
207,Neijiang,100,CN,1571020221,74,29.59,105.06,292.53,3.796
208,Groningen,90,NL,1571020222,93,53.22,6.57,286.48,3.6
209,Matara,31,BI,1571020223,81,-3.48,29.48,288.52,1.72
210,Eyl,0,SO,1571020224,82,7.98,49.82,299.8,2.702
211,Elhovo,5,BG,1571020226,100,42.17,26.57,280.93,2.698
212,Okhotsk,74,RU,1571020227,58,59.36,143.24,267.29,8.027
213,Moose Jaw,40,CA,1571020228,55,50.4,-105.54,274.15,1.5
214,Riviere-au-Renard,75,CA,1571020230,93,49.0,-64.4,280.15,1.5
215,San Clemente,40,US,1571020231,77,33.43,-117.61,293.15,3.1
216,Saint-Medard-en-Jalles,0,FR,1571020232,88,44.9,-0.72,292.04,6.2
217,Kirensk,100,RU,1571020234,62,57.78,108.12,272.8,5.05
218,Wanxian,100,CN,1571020235,87,30.8,108.39,288.37,2.492
219,West Point,90,US,1571020236,100,33.61,-88.65,285.37,1.566
220,Nyon,0,CH,1571020237,93,46.38,6.24,288.15,1.0
221,Pangnirtung,14,CA,1571020239,55,66.15,-65.72,268.01,1.031
222,Swindon,1,GB,1571020240,100,51.56,-1.79,283.71,2.1
223,Koutsouras,0,GR,1571020241,71,35.03,25.95,293.71,4.92
224,Surman,67,LY,1571020242,76,32.76,12.57,297.26,4.88
225,Saldanha,99,PT,1571020244,72,41.42,-6.55,287.75,3.281
226,Nanortalik,0,GL,1571020245,86,60.14,-45.24,274.31,6.432
227,Bridlington,100,GB,1571020246,93,54.08,-0.19,281.48,2.6
228,Calama,75,CL,1571020247,30,-22.46,-68.93,286.15,5.1
229,Saint-Vallier,0,FR,1571020249,87,46.64,4.37,290.37,1.0
230,Honningsvag,95,NO,1571020250,61,70.98,25.97,276.53,2.464
231,Malartic,90,CA,1571020251,93,48.14,-78.13,280.15,3.6
232,Hithadhoo,100,MV,1571020253,73,-0.6,73.08,301.43,2.241
233,Lasa,0,CY,1571020254,35,34.92,32.53,298.15,4.1
234,Saint-Augustin,20,CA,1571020256,66,45.63,-73.98,284.26,4.1
235,Nevsehir,0,TR,1571020257,60,38.62,34.71,279.15,0.946
236,Henties Bay,85,NA,1571020258,87,-22.12,14.28,290.37,2.68
237,Lasem,67,ID,1571020259,36,-6.99,112.52,308.01,3.056
238,Omsukchan,94,RU,1571020260,88,62.53,155.8,260.89,1.277
239,Piacabucu,4,BR,1571020262,81,-10.41,-36.43,296.9,4.298
240,Haverfordwest,100,GB,1571020263,98,51.8,-4.97,284.82,0.45
241,Saint Anthony,1,US,1571020264,36,43.97,-111.68,281.15,2.062
242,La Asuncion,100,AR,1571020266,96,-26.05,-65.39,284.0,1.253
243,Zhigansk,100,RU,1571020267,83,66.77,123.37,267.47,4.772
244,Ust-Tsilma,100,RU,1571020269,94,65.44,52.15,277.0,3.654
245,Coos Bay,90,US,1571020270,82,43.37,-124.22,287.04,7.7
246,Pulandian,0,CN,1571020271,34,39.4,121.96,283.15,7.0
247,Port-Gentil,100,GA,1571020273,83,-0.72,8.78,299.02,4.435
248,Salinopolis,42,BR,1571020274,78,-0.61,-47.36,300.34,7.465
249,Manyana,29,AU,1571020275,46,-35.26,150.51,295.37,3.1
250,Butte,1,US,1571020276,69,46.01,-112.54,279.26,2.6
251,Lubango,59,AO,1571020278,98,-14.92,13.49,287.44,2.54
252,Avera,40,US,1571020279,100,33.19,-82.53,296.15,1.13
253,San Patricio,42,PY,1571020280,83,-26.98,-56.83,297.32,4.21
254,Esso,78,RU,1571020281,93,55.93,158.7,267.8,1.676
255,Westbrook,1,US,1571020283,81,43.68,-70.37,285.37,1.511
256,Ciudad Bolivar,9,VE,1571020284,76,8.12,-63.55,298.41,3.132
257,Juegang,99,CN,1571020285,94,32.31,121.18,297.59,9.637
258,Chumikan,66,RU,1571020287,39,54.72,135.31,272.52,7.699
259,Willowmore,9,ZA,1571020288,83,-33.3,23.49,283.23,2.692
260,Doha,1,QA,1571020289,83,25.29,51.53,304.15,3.744
261,Bambous Virieux,75,MU,1571020290,88,-20.34,57.76,294.26,1.5
262,Skeldon,100,GY,1571020292,80,5.88,-57.13,300.52,3.996
263,Yasnyy,100,RU,1571020293,92,64.04,44.09,277.81,3.496
264,Belfast,42,GB,1571020294,100,54.6,-5.93,280.37,2.1
265,Kavaratti,100,IN,1571020296,74,10.57,72.64,301.57,4.298
266,Abu Dhabi,0,AE,1571020297,45,24.47,54.37,302.15,4.6
267,Montmagny,90,FR,1571020298,87,48.97,2.34,288.15,0.5
268,Port Blair,93,IN,1571020299,75,11.67,92.75,301.88,4.795
269,Keningau,75,MY,1571020301,70,5.33,116.16,304.15,2.1
270,Skegness,100,GB,1571020302,93,53.14,0.34,282.59,2.1
271,Aras,45,ES,1571020303,82,42.56,-2.36,292.15,5.7
272,Vanavara,100,RU,1571020304,83,60.35,102.28,272.68,3.834
273,Tiksi,100,RU,1571020306,90,71.64,128.87,265.37,2.303
274,Slave Lake,75,CA,1571020307,83,55.28,-114.77,277.15,1.0
275,Cayenne,98,GF,1571020308,94,4.94,-52.33,297.15,2.572
276,Aklavik,75,CA,1571020309,86,68.22,-135.01,270.15,2.1
277,Marsa Matruh,40,EG,1571020310,78,31.35,27.25,296.15,2.6
278,Carmo,0,BR,1571020312,83,-21.93,-42.61,291.12,0.855
279,Banda Aceh,100,ID,1571020313,70,5.56,95.32,302.02,0.628
280,Mount Isa,0,AU,1571020315,8,-20.73,139.49,311.15,4.6
281,Dunedin,100,NZ,1571020316,84,-45.87,170.5,284.26,9.39
282,Port Hedland,62,AU,1571020317,12,-20.31,118.58,307.15,3.6
283,Faya,79,SA,1571020318,63,18.39,42.45,290.15,3.427
284,Sechelt,5,CA,1571020320,81,49.47,-123.76,284.26,1.0
285,Tautira,20,PF,1571020321,58,-17.73,-149.15,301.15,3.1
286,Nichinan,20,JP,1571020322,60,31.65,131.31,296.15,2.1
287,Nara,75,JP,1571020323,82,34.68,135.8,293.15,0.5
288,Kholodnyy,100,RU,1571020325,91,62.72,147.95,260.08,2.26
289,Bouza,0,NE,1571020326,25,14.42,6.04,301.84,2.084
290,Palmer,75,AU,1571020327,67,-34.85,139.16,292.59,4.6
291,Xiaoweizhai,100,CN,1571020328,94,26.23,107.51,288.08,2.47
292,Indramayu,88,ID,1571020330,35,-4.05,103.78,306.6,2.182
293,Port Lincoln,21,AU,1571020331,63,-34.72,135.86,290.26,4.172
294,Ponta Delgada,75,PT,1571020333,82,37.73,-25.67,290.37,4.6
295,Cherskiy,100,RU,1571020334,78,68.75,161.3,272.5,0.723
296,Kijang,0,KR,1571020335,45,35.24,129.21,293.15,2.6
297,Luganville,75,VU,1571020336,70,-15.51,167.18,302.15,2.6
298,Buraydah,10,SA,1571020338,46,26.33,43.97,295.15,1.5
299,Riga,100,LV,1571020339,100,56.95,24.11,282.15,3.6
300,Champerico,40,MX,1571020340,83,16.38,-93.6,297.15,2.6
301,Dongsheng,100,CN,1571020342,70,29.72,112.52,293.09,4.916
302,Karasuk,100,RU,1571020344,54,53.73,78.03,285.49,5.933
303,Estelle,90,FR,1571020345,88,43.97,3.47,291.15,2.6
304,Narsaq,94,GL,1571020346,47,60.91,-46.05,275.15,3.6
305,Bonthe,98,SL,1571020348,87,7.53,-12.5,297.91,1.232
306,Nisia Floresta,75,BR,1571020349,94,-6.09,-35.21,297.15,1.5
307,Touros,75,BR,1571020351,94,-5.2,-35.46,296.15,1.5
308,Lyubech,68,UA,1571020352,86,51.7,30.66,284.49,2.362
309,Kaeo,100,NZ,1571020353,100,-35.1,173.78,286.48,16.319
310,Fort-Shevchenko,0,KZ,1571020354,84,44.51,50.26,286.48,4.805
311,Businga,93,CD,1571020356,94,3.34,20.89,293.31,0.187
312,Santa Maria,93,BR,1571020357,38,-16.02,-48.01,296.15,1.0
313,Vardo,1,US,1571020358,58,39.62,-77.74,285.15,1.5
314,Pontianak,40,ID,1571020360,83,-0.02,109.34,299.15,2.1
315,Luzino,100,RU,1571020361,80,54.95,73.03,283.11,5.98
316,Vangaindrano,11,MG,1571020362,92,-23.35,47.6,293.58,1.999
317,Qaqortoq,0,GL,1571020363,47,60.72,-46.03,275.15,3.6
318,Vestmannaeyjar,65,IS,1571020365,71,63.44,-20.27,280.17,10.767
319,Les Cayes,40,HT,1571020366,77,18.19,-73.75,301.53,5.021
320,Sur,0,OM,1571020367,65,22.57,59.53,298.94,1.207
321,La Ronge,75,CA,1571020368,53,55.1,-105.3,273.15,0.819
322,Isangel,40,VU,1571020370,74,-19.55,169.27,301.15,5.1
323,Balakliya,0,UA,1571020371,81,49.46,36.86,284.15,2.0
324,Lorengau,100,PG,1571020372,67,-2.02,147.27,302.12,3.528
325,Te Anau,100,NZ,1571020373,80,-45.41,167.72,283.03,0.508
326,Taseyevo,99,RU,1571020375,61,57.22,94.9,278.55,0.928
327,Yerbogachen,100,RU,1571020376,93,61.28,108.01,270.98,4.604
328,Baker City,1,US,1571020377,49,44.77,-117.83,286.15,2.1
329,Nabire,96,ID,1571020378,64,-3.36,135.5,303.97,1.694
330,Coelho Neto,80,BR,1571020380,73,-4.25,-43.02,298.21,1.971
331,Braganca,10,BR,1571020381,90,-1.05,-46.77,296.43,1.252
332,Khatanga,95,RU,1571020382,93,71.98,102.47,269.55,6.044
333,Ambilobe,67,MG,1571020383,81,-13.19,49.05,295.28,2.472
334,Ponnani,75,IN,1571020385,83,10.77,75.93,299.15,3.1
335,Alexandria,0,RO,1571020386,93,43.97,25.33,280.93,1.833
336,Havelock,90,US,1571020387,65,34.88,-76.9,298.15,3.6
337,Urucara,61,BR,1571020388,60,-2.54,-57.76,299.56,0.803
338,Lompoc,1,US,1571020390,87,34.64,-120.46,289.15,1.5
339,Huangchuan,90,CN,1571020391,82,24.57,102.46,294.82,1.0
340,Beringovskiy,91,RU,1571020392,84,63.05,179.32,276.8,6.712
341,Burnie,95,AU,1571020394,76,-41.05,145.91,288.15,1.79
342,Yelnya,99,RU,1571020396,95,54.58,33.19,281.07,2.199
343,Hualmay,66,PE,1571020397,83,-11.1,-77.61,287.67,1.365
344,Christchurch,100,NZ,1571020398,71,-43.53,172.64,286.15,5.1
345,Namibe,75,AO,1571020400,88,-15.19,12.15,294.61,2.032
346,Brownsville,1,US,1571020401,88,25.91,-97.49,297.59,1.04
347,Little Current,90,CA,1571020402,93,45.98,-81.93,278.71,4.6
348,West Plains,1,US,1571020403,62,36.73,-91.85,286.15,1.782
349,Laguna,75,BZ,1571020405,100,16.17,-88.94,297.15,4.1
350,Margate,32,AU,1571020406,31,-43.03,147.26,298.15,1.34
351,Qasigiannguit,0,GL,1571020407,52,68.82,-51.19,266.15,3.6
352,Severnyy-Kospashskiy,100,RU,1571020408,100,59.09,57.8,278.15,0.89
353,Abha,100,SA,1571020410,63,18.22,42.5,290.15,0.452
354,Los Llanos de Aridane,75,ES,1571020411,88,28.66,-17.92,293.15,4.1
355,Ternate,75,PH,1571020412,66,14.29,120.72,304.26,2.6
356,Revda,100,RU,1571020413,98,67.94,34.55,272.69,2.414
357,Harper,1,US,1571020415,56,30.3,-99.24,294.15,2.1
358,Rumia,100,PL,1571020416,77,54.57,18.4,290.93,5.7
359,Egvekinot,100,RU,1571020417,98,66.32,-179.17,271.23,4.117
360,Praia da Vitoria,75,PT,1571020418,72,38.73,-27.07,291.15,6.369
361,Wewak,100,PG,1571020420,82,-3.55,143.63,298.86,0.739
362,Zabol,0,IR,1571020421,42,31.03,61.49,291.15,18.0
363,Dwarka,20,IN,1571020422,78,28.58,77.04,302.59,1.534
364,Lodwar,99,KE,1571020423,56,3.12,35.6,300.25,4.291
365,Bokhan,19,RU,1571020425,50,53.15,103.77,276.71,2.008
366,Chapais,75,CA,1571020426,70,49.78,-74.86,279.15,4.1
367,Kieta,100,PG,1571020427,70,-6.22,155.63,301.64,2.906
368,Anloga,20,GH,1571020428,94,5.79,0.9,298.15,2.1
369,Muravlenko,100,RU,1571020429,98,63.79,74.5,278.26,5.089
370,Aulum,68,DK,1571020431,76,56.26,8.79,287.15,14.9
371,Sola,4,TZ,1571020432,68,-3.17,33.8,293.01,2.891
372,El Sauzal,90,AR,1571020433,88,-24.3,-64.96,291.15,5.1
373,Bath,100,GB,1571020434,93,51.38,-2.36,284.82,2.6
374,Timra,98,SE,1571020436,100,62.49,17.33,273.15,4.1
